run,split,step,metric,value
Reward v2,train,4,perf/max_memory_allocated_gb,62.04051065444946
Reward v2,train,4,perf/max_memory_reserved_gb,70.203125
Reward v2,train,4,perf/cpu_memory_used_gb,387.46083068847656
Reward v2,train,4,actor/lr,1e-06
Reward v2,train,4,training/global_step,4.0
Reward v2,train,4,training/epoch,0.0
Reward v2,train,4,critic/score/mean,0.2584272623062134
Reward v2,train,4,critic/score/max,1.0950819253921509
Reward v2,train,4,critic/score/min,0.0
Reward v2,train,4,critic/rewards/mean,0.2584272623062134
Reward v2,train,4,critic/rewards/max,1.0950819253921509
Reward v2,train,4,critic/rewards/min,0.0
Reward v2,train,4,critic/true_reward/mean,0.2584272623062134
Reward v2,train,4,critic/true_reward/max,1.0950819253921509
Reward v2,train,4,critic/true_reward/min,0.0
Reward v2,train,4,critic/advantages/max,1.4999972581863403
Reward v2,train,4,critic/advantages/min,-0.9060501456260681
Reward v2,train,4,critic/advantages/mean,-0.12854507565498352
Reward v2,train,4,critic/advantages/std,0.838824987411499
Reward v2,train,4,critic/advantages/abs_mean,0.7946946024894714
Reward v2,train,4,critic/advantages/extreme_count,0.0
Reward v2,train,4,critic/advantages/abs_max,1.4999972581863403
Reward v2,train,4,critic/returns/max,1.4999972581863403
Reward v2,train,4,critic/returns/min,-0.9060501456260681
Reward v2,train,4,critic/returns/mean,-0.12854507565498352
Reward v2,train,4,response_length/mean,433.421875
Reward v2,train,4,response_length/max,1024.0
Reward v2,train,4,response_length/min,154.0
Reward v2,train,4,response_length/clip_ratio,0.09375
Reward v2,train,4,response_length_non_aborted/mean,433.421875
Reward v2,train,4,response_length_non_aborted/max,1024.0
Reward v2,train,4,response_length_non_aborted/min,154.0
Reward v2,train,4,response_length_non_aborted/clip_ratio,0.09375
Reward v2,train,4,response/aborted_ratio,0.0
Reward v2,train,4,prompt_length/mean,354.5625
Reward v2,train,4,prompt_length/max,366.0
Reward v2,train,4,prompt_length/min,344.0
Reward v2,train,4,prompt_length/clip_ratio,0.0
Reward v2,train,4,num_turns/min,4.0
Reward v2,train,4,num_turns/max,8.0
Reward v2,train,4,num_turns/mean,4.84375
Reward v2,train,4,reward_v2/answer_reward/mean,0.2033203125
Reward v2,train,4,reward_v2/marginal_evidence_reward/mean,0.58984375
Reward v2,train,4,reward_v2/current_beta/mean,0.09508196721311475
Reward v2,train,4,reward_v2/wasted_search_count/mean,0.2421875
Reward v2,train,4,reward_v2/wasted_search_penalty/mean,0.0009765625
Reward v2,train,4,reward_v2/total_reward/mean,0.25842725409836065
Reward v2,train,4,reward_v2/search_count/mean,1.421875
Reward v2,train,4,reward_v2/useful_search_count/mean,1.1796875
Reward v2,train,4,reward_v2/unique_support_count/mean,1.1796875
Reward v2,train,4,reward_v2/multi_search/mean,0.34375
Reward v2,train,4,reward_v2/evidence_gain_per_search/mean,0.443359375
Reward v2,train,4,reward_v2/repeated_search_count/mean,0.0390625
Reward v2,train,4,timing_s/start_profile,5.465187132358551e-05
Reward v2,train,4,timing_s/agent_loop/generate_sequences/min,1.1998663116246462
Reward v2,train,4,timing_s/agent_loop/generate_sequences/max,61.15487799793482
Reward v2,train,4,timing_s/agent_loop/generate_sequences/mean,8.172187348056468
Reward v2,train,4,timing_s/agent_loop/tool_calls/min,0.0005915816873311996
Reward v2,train,4,timing_s/agent_loop/tool_calls/max,0.008820610120892525
Reward v2,train,4,timing_s/agent_loop/tool_calls/mean,0.002907715243054554
Reward v2,train,4,timing_s/agent_loop/slowest/generate_sequences,61.15487799793482
Reward v2,train,4,timing_s/agent_loop/slowest/tool_calls,0.0017543360590934753
Reward v2,train,4,timing_s/agent_loop/slowest/prompt_length,351.0
Reward v2,train,4,timing_s/agent_loop/slowest/response_length,1024.0
Reward v2,train,4,timing_s/gen,72.20921181328595
Reward v2,train,4,timing_s/reward,0.05618880316615105
Reward v2,train,4,timing_s/old_log_prob,53.22376695647836
Reward v2,train,4,timing_s/ref,59.318167600780725
Reward v2,train,4,timing_s/adv,0.005616283044219017
Reward v2,train,4,timing_s/update_actor,225.92053681612015
Reward v2,train,4,timing_s/dump_rollout_generations,0.0865738969296217
Reward v2,train,4,timing_s/step,410.8440702278167
Reward v2,train,4,timing_s/stop_profile,5.1744282245635986e-05
Reward v2,train,4,timing_per_token_ms/gen,1.3015828222590207
Reward v2,train,4,timing_per_token_ms/update_actor,2.2398974521238935
Reward v2,train,4,timing_per_token_ms/ref,0.588112149281005
Reward v2,train,4,timing_per_token_ms/adv,5.5682844324116285e-05
Reward v2,train,4,perf/total_num_tokens,100862.0
Reward v2,train,4,perf/time_per_step,410.8440702278167
Reward v2,train,4,perf/throughput,61.37486659115655
Reward v2,train,5,total_reward,0.16854252049180327
Reward v2,train,5,total_reward_std,0.32772419851646206
Reward v2,train,5,answer_reward,0.1234375
Reward v2,train,5,answer_reward_std,0.31535802446386235
Reward v2,train,5,task_reward,0.1234375
Reward v2,train,5,task_reward_std,0.31535802446386235
Reward v2,train,5,marginal_evidence_reward,0.484375
Reward v2,train,5,current_beta,0.09344262295081968
Reward v2,train,5,wasted_search_penalty,0.00015625
Reward v2,train,5,search_count,1.203125
Reward v2,train,5,useful_search_count,0.96875
Reward v2,train,5,wasted_search_count,0.234375
Reward v2,train,5,unique_support_count,0.96875
Reward v2,train,5,multi_search,0.1796875
Reward v2,train,5,evidence_gain_per_search,0.4114583333333333
Reward v2,train,5,repeated_search_count,0.0234375
Reward v2,train,5,em,0.109375
Reward v2,train,5,f1,0.1375
Reward v2,train,5,valid_answer,0.5
Reward v2,train,5,zero_variance_group_ratio,0.65625
Reward v2,train,5,trajectory_count,128.0
Reward v2,train,5,group_count,32.0
Reward v2,train,5,actor/entropy,0.05647023394703865
Reward v2,train,5,actor/pg_clipfrac,0.0
Reward v2,train,5,actor/ppo_kl,0.0
Reward v2,train,5,actor/pg_clipfrac_lower,0.0
Reward v2,train,5,actor/kl_loss,0.0018213515875648567
Reward v2,train,5,actor/kl_coef,0.0010000000000000005
Reward v2,train,5,actor/pg_loss,4.656612873077393e-10
Reward v2,train,5,actor/grad_norm,2.54447865486145
Reward v2,train,5,perf/mfu/actor,0.0
Reward v2,train,5,perf/max_memory_allocated_gb,62.04051065444946
Reward v2,train,5,perf/max_memory_reserved_gb,70.203125
Reward v2,train,5,perf/cpu_memory_used_gb,386.5643196105957
Reward v2,train,5,actor/lr,1e-06
Reward v2,train,5,training/global_step,5.0
